"#","Reference","Qty","Value","Footprint","DNP"
"1","D1, D2","2","LED","LED_THT:LED_D5.0mm",""
"2","J2","1","Conn_01x04","Connector:NS-Tech_Grove_1x04_P2mm_Vertical",""
"3","J3","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"4","J4","1","AudioJack3","Connector_Audio:Jack_3.5mm_Ledino_KB3SPRS_Horizontal",""
"5","J5","1","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal",""
"6","J6","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"7","K1, K2","2","RM84","Relay_THT:Relay_DPDT_Finder_30.22",""
"8","R1, R2, R3, R4","4","10k","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",""
"9","R5, R6","2","330","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal",""
"10","SW1","1","SW_DIP_x03","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm",""
"11","U1","1","PCF8574","Package_DIP:DIP-16_W7.62mm_Socket",""
"12","U2","1","ULN2803A","Package_DIP:DIP-18_W7.62mm_Socket",""
